Title,Start Date,End Date,Apply Link,Status
Code Golf,2025-09-02T00:00:00+05:30,2025-09-11T14:37:08+05:30,https://unstop.com/hackathons/code-golf-amity-university-1550925,expired
"CodeChronos Hackathon: Master Time Complexity, Master Interviews, Win Prizes",2025-09-02T08:30:23+05:30,2025-09-06T18:30:35+05:30,https://unstop.com/hackathons/mastering-time-complexity-in-recursion-algorithms-to-crack-faang-companies-unsaidtalks-education-1550639,expired
Build-A-Thon- Where Agents Shape Tomorrow,2025-09-01T00:00:00+05:30,2025-09-11T23:59:00+05:30,https://unstop.com/hackathons/build-a-thon-where-agents-shape-tomorrow-pimpri-chinchwad-college-of-engineering-pccoe-pune-1550234,expired
CodeX- Crack the Code,2025-09-01T00:00:00+05:30,2025-09-15T00:00:00+05:30,https://unstop.com/p/codex-crack-the-code-svk-1550297,expired
Techastra: 10-Hour AI & Cyber Security Hackathon,2025-08-31T00:00:00+05:30,2025-09-11T00:00:00+05:30,https://unstop.com/hackathons/techastra-10-hour-ai-cyber-security-hackathon-drmgr-educational-and-research-institute-1549613,expired
Mastering Time Complexity in Recursion Algorithms To Crack FAANG Companies,2025-09-01T14:00:23+05:30,2025-09-02T15:00:00+05:30,https://unstop.com/hackathons/the-complexity-clash-loop-vs-recursion-showdown-hackathon-unsaidtalks-education-1548867,expired
AshnaAI Smart India AI Agent Hackathon 2025,2025-09-01T00:00:00+05:30,2025-09-07T12:00:00+05:30,https://unstop.com/hackathons/ashnaai-smart-india-ai-agent-hackathon-2025-ashnaai-smart-india-ai-agent-hackathon-2025-ashnaai-1550033,expired
Codezilla,2025-08-31T00:00:00+05:30,2025-09-07T06:07:00+05:30,https://unstop.com/hackathons/codezilla-pantheon-techfest25-birla-institute-of-technology-mesra-ranchi-1549538,expired
CodeRush - 7th Weekly Coding Contest,2025-09-02T07:00:00+05:30,2025-09-07T08:30:00+05:30,https://unstop.com/hackathons/coderush-7th-weekly-coding-contest-chandigarh-group-of-colleges-cgc-landran-punjab-1549788,expired
Brandverse Hackathon Challenge 2025,2025-08-31T00:00:00+05:30,2025-09-15T00:00:00+05:30,https://unstop.com/hackathons/brandverse-hackathon-challenge-2025-brandverse-technologies-india-private-limited-1549684,expired
Zero Day Apocalypse,2025-08-30T00:00:00+05:30,2025-09-11T23:59:18+05:30,https://unstop.com/hackathons/zero-day-apocalypse-shunya-netaji-subhas-university-of-technology-nsut-delhi-1549448,expired
Hack Nexus 1.0,2025-08-26T00:00:00+05:30,2025-09-12T00:00:00+05:30,https://unstop.com/hackathons/hack-nexus-10-chitkara-university-cu-rajpura-punjab-1547109,expired
Sustain-A-Thon 2025,2025-08-30T00:00:00+05:30,2025-09-10T00:00:00+05:30,https://unstop.com/hackathons/sustain-a-thon-2025-sharda-university-su-greater-noida-1549059,expired
Digigreen Hiring Challenge,2025-08-29T00:00:00+05:30,2025-09-14T00:00:00+05:30,https://unstop.com/hackathons/digigreen-hiring-challenge-digigreen-recycling-pvt-ltd-1548987,expired
AI Engineer Fresher,2025-08-29T00:00:00+05:30,2025-09-12T00:00:00+05:30,https://unstop.com/hackathons/linkenite-hackathon-challenge-ai-powered-business-automation-platform-linkenite-1548651,expired
Road Safety Ideathon 2025 PDEU,2025-08-28T00:00:00+05:30,2025-09-08T00:00:00+05:30,https://unstop.com/hackathons/road-safety-ideathon-2025-pdeu-pandit-deendayal-energy-university-pdeu-formerly-pdpu-gandhinagar-1548327,expired
E-Cell Pitch Cafe 9.0,2025-08-27T22:53:32+05:30,2025-09-11T21:56:15+05:30,https://unstop.com/hackathons/e-cell-pitch-cafe-90-riise-2025-iiit-delhi-1547912,expired
YUVA - Capture the Flag ( CTF ),2025-08-28T00:00:00+05:30,2025-09-06T00:00:00+05:30,https://unstop.com/hackathons/yuva-capture-the-flag-ctf-yuva-srm-insitute-of-science-and-technology-1548023,expired
Xypher,2025-08-20T00:00:00+05:30,2025-09-03T23:59:00+05:30,https://unstop.com/hackathons/xypher-manipal-university-mu-jaipur-1544551,expired
Biz Tech Ideathon 2025,2025-08-22T12:34:12+05:30,2025-09-12T00:00:12+05:30,https://unstop.com/hackathons/biz-tech-ideathon-2025-new-delhi-institute-of-management-ndim-new-delhi-1545323,expired
HackWithSanchaar,2025-08-26T08:30:00+05:30,2025-09-07T12:29:00+05:30,https://unstop.com/hackathons/hackwithsanchaar-guru-tegh-bahadur-institute-of-technology-1546968,expired
Hackfinity,2025-08-25T00:00:00+05:30,2025-09-12T23:59:00+05:30,https://unstop.com/hackathons/hackfinity-ramco-institute-of-technology-rit-tamil-nadu-1546736,expired
AlgoArena 2.0,2025-08-23T00:00:00+05:30,2025-09-11T23:59:00+05:30,https://unstop.com/hackathons/algoarena-20-chandigarh-university-gharuan-punjab-1546399,expired
Fintechstico v6.0 - Diving Into The World Of Fintech,2025-08-26T00:00:00+05:30,2025-09-04T13:00:01+05:30,https://unstop.com/hackathons/fintechstico-diving-into-the-world-of-fintech-consilium25-netaji-subhas-university-of-technology-nsut-delhi-1547067,expired
Indradhanu Hackathon - International Grand Challenge 2025-2026,2025-07-15T00:00:00+05:30,2025-09-10T23:59:38+05:30,https://unstop.com/hackathons/igc-hackathon-international-grand-challenge-2025-2026-pccoe-pimpri-chinchwad-college-of-engineering-1523861,expired
